City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
6,Guerrero Negro,MX,75.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
8,Half Moon Bay,US,81.7,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
11,Coruripe,BR,73.98,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
14,Malakal,SS,73.17,overcast clouds,9.5334,31.6605,Nile Palace Hotel
16,Sao Joao Da Barra,BR,74.03,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
25,Sabzevar,IR,71.1,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
31,Antalaha,MG,70.2,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
32,Chake Chake,TZ,74.97,clear sky,-5.2459,39.7666,Hotel Archipelago
37,Butte,US,79.56,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
42,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Kokopo,PG,80.38,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
45,Kuppam,IN,73.65,overcast clouds,12.75,78.3667,S R G Homes
46,Owando,CG,70.14,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
47,Atuona,PF,78.15,scattered clouds,-9.8,-139.0333,Villa Enata
50,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
51,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
52,Thunder Bay,CA,81.99,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
53,Bethel,US,73.71,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
55,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Shima,CN,76.12,light rain,24.4478,117.8111,龙海钻石大酒店
63,Rikitea,PF,73.89,clear sky,-23.1203,-134.9692,People ThankYou
65,Vasai,IN,78.89,light rain,19.47,72.8,Go Firne
67,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Augusto Correa,BR,78.89,broken clouds,-1.0217,-46.635,Fazenda Bacuri
75,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
76,Hami,CN,72.52,scattered clouds,42.8,93.45,Laoyutang Resort
79,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
83,Superior,US,87.89,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
84,Pochutla,MX,89.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
86,Salamiyah,SY,72.39,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
91,Srandakan,ID,74.82,broken clouds,-7.9386,110.2506,Puri Brata
92,Sorong,ID,77.99,light rain,-0.8833,131.25,waigo splash hotel
93,Saint Anthony,US,89.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
94,Belle Glade,US,86.05,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
95,Houma,US,87.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
103,Faanui,PF,77.77,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
107,Monrovia,LR,76.86,light rain,6.3005,-10.7969,Sunset Inn
112,Ponta Do Sol,PT,74.03,overcast clouds,32.6667,-17.1,Hotel do Campo
114,Gizo,SB,81.77,light rain,-8.103,156.8419,Imagination Island
116,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
117,Karratha,AU,74.19,clear sky,-20.7377,116.8463,ibis Styles Karratha
122,Bossangoa,CF,70.16,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
123,Kang,BW,71.28,broken clouds,-23.6752,22.7876,Kang Ultra Stop
125,Butaritari,KI,83.16,broken clouds,3.0707,172.7902,Isles Sunset Lodge
126,Gamba,GA,74.89,broken clouds,-2.65,10.0,
129,Nakamura,JP,70.2,scattered clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
131,Kieta,PG,81.52,light rain,-6.2167,155.6333,Uruna Bay Retreat
133,Alyangula,AU,75.58,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
135,Shimoda,JP,71.49,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
136,North Bend,US,70.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
138,Fortuna,US,73.18,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
140,Orange Cove,US,86.63,clear sky,36.6244,-119.3137,
143,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
144,Vaitape,PF,77.81,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
148,Sur,OM,81.9,broken clouds,22.5667,59.5289,Sur Plaza Hotel
150,Lorengau,PG,83.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
156,Aplahoue,BJ,73.63,light rain,6.9333,1.6833,Hotel ARNOGOS
159,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
162,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
166,Sao Filipe,CV,80.06,overcast clouds,14.8961,-24.4956,Hotel Xaguate
167,Bogalusa,US,84.25,clear sky,30.791,-89.8487,Traveler's Rest Motel
168,Hurghada,EG,83.93,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
169,Sioux Lookout,CA,79.18,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
173,Bubaque,GW,81.01,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
176,Hilo,US,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
177,Guarapari,BR,76.89,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
178,Isangel,VU,73.09,scattered clouds,-19.55,169.2667,Tanna Lodge
181,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
184,Eyl,SO,78.01,broken clouds,7.9803,49.8164,Amiin Hotel
185,Laguna,US,82.6,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
187,Mahibadhoo,MV,82.15,overcast clouds,3.7833,72.9667,Omadhoo Inn
190,Bengkulu,ID,73.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
191,Namatanai,PG,81.68,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
192,Cockburn Town,TC,82.74,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
194,Alofi,NU,76.75,light rain,-19.0595,-169.9187,Taloa Heights
195,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
196,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
199,Batasan,PH,79.47,overcast clouds,12.7667,120.7833,CORDERO Beach Resort
200,Malabo,GQ,78.53,light rain,3.75,8.7833,Hostal Residencia Morenita
203,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
209,Hamilton,US,85.59,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
212,Avera,US,84.07,overcast clouds,33.194,-82.5271,
215,Praia Da Vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
218,Umm Lajj,SA,83.89,clear sky,25.0213,37.2685,Moon light Furnished Units
223,San Onofre,CO,81.45,overcast clouds,9.7359,-75.5263,Hotel Sinai
225,Garmsar,IR,81.81,clear sky,35.2182,52.3409,آذین فوم
226,Puerto Baquerizo Moreno,EC,72.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
230,Poya,NC,73.6,clear sky,-21.35,165.15,
237,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
240,Algiers,DZ,73.22,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
241,Eureka,US,71.74,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
244,Tual,ID,79.77,broken clouds,-5.6667,132.75,Grand Vilia Hotel
247,Victoria Point,AU,72.48,clear sky,-27.5833,153.3,Bay Retreat Motel
249,Kamphaeng Phet,TH,76.59,light rain,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
253,Buala,SB,81.57,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
255,Fowa,NG,76.01,broken clouds,8.9167,6.4,
256,Lianzhou,CN,75.24,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
260,Yatou,CN,72.57,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
265,Honiara,SB,81.5,overcast clouds,-9.4333,159.95,Heritage Park Hotel
