,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.91,87,90,17.27,light intensity shower rain
1,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,62,0,8.05,clear sky
2,Bandarbeyla,SO,9.4942,50.8122,79.29,75,85,21.52,overcast clouds
3,Ayorou,NE,14.7308,0.9174,93.07,35,17,6.91,few clouds
4,Mataura,NZ,-46.1927,168.8643,51.48,72,58,4.72,light rain
5,Chuy,UY,-33.6971,-53.4616,61.5,97,100,8.52,overcast clouds
6,Guerrero Negro,MX,27.9769,-114.0611,75.49,61,1,18.32,clear sky
7,Narsaq,GL,60.9167,-46.05,43.02,84,70,3.0,broken clouds
8,Half Moon Bay,US,37.4636,-122.4286,81.7,64,20,1.01,few clouds
9,Mantua,IT,45.1667,10.7833,63.72,86,74,3.0,broken clouds
10,Broken Hill,AU,-31.95,141.4333,55.18,51,0,17.52,clear sky
11,Coruripe,BR,-10.1256,-36.1756,73.98,81,98,9.66,overcast clouds
12,Nurota,UZ,40.5614,65.6886,66.29,30,4,10.18,clear sky
13,Port Macquarie,AU,-31.4333,152.9167,61.07,44,0,3.85,clear sky
14,Malakal,SS,9.5334,31.6605,73.17,87,88,1.99,overcast clouds
15,Katsuura,JP,35.1333,140.3,69.91,75,86,15.7,overcast clouds
16,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.03,87,10,10.11,clear sky
17,Hasaki,JP,35.7333,140.8333,66.6,68,50,16.35,scattered clouds
18,Vestmanna,FO,62.1564,-7.1664,50.92,100,90,10.36,fog
19,Saskylakh,RU,71.9167,114.0833,27.9,94,100,5.95,overcast clouds
20,Hare Bay,CA,48.8499,-54.0148,51.76,93,100,8.88,overcast clouds
21,Lebu,CL,-37.6167,-73.65,51.12,73,1,17.56,clear sky
22,Nanortalik,GL,60.1432,-45.2371,37.76,87,51,9.62,broken clouds
23,Kaitangata,NZ,-46.2817,169.8464,49.26,77,45,5.64,scattered clouds
24,Port Elizabeth,ZA,-33.918,25.5701,53.1,87,22,8.68,few clouds
25,Sabzevar,IR,36.2126,57.6819,71.1,35,0,8.7,clear sky
26,Pisco,PE,-13.7,-76.2167,63.01,77,0,21.85,clear sky
27,Qaqortoq,GL,60.7167,-46.0333,43.3,86,31,10.56,scattered clouds
28,Iqaluit,CA,63.7506,-68.5145,35.33,75,40,19.57,scattered clouds
29,Albany,US,42.6001,-73.9662,69.93,68,5,3.2,clear sky
30,Komsomolskiy,UZ,40.4272,71.7189,68.72,37,0,9.22,clear sky
31,Antalaha,MG,-14.9003,50.2788,70.2,84,100,10.27,overcast clouds
32,Chake Chake,TZ,-5.2459,39.7666,74.97,84,3,11.92,clear sky
33,Geraldton,AU,-28.7667,114.6,55.81,76,0,14.97,clear sky
34,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,92.95,15,20,2.66,few clouds
35,Busselton,AU,-33.65,115.3333,44.1,82,0,11.68,clear sky
36,Ushuaia,AR,-54.8,-68.3,47.86,57,40,8.05,light rain
37,Butte,US,39.6499,-121.5677,79.56,36,1,6.91,clear sky
38,East London,ZA,-33.0153,27.9116,61.81,83,13,12.5,few clouds
39,Hermanus,ZA,-34.4187,19.2345,56.89,78,0,12.46,clear sky
40,Tuktoyaktuk,CA,69.4541,-133.0374,41.41,60,37,15.12,scattered clouds
41,Karagay,RU,58.2667,54.9368,32.92,87,71,7.67,broken clouds
42,Vaini,TO,-21.2,-175.2,77.16,73,20,12.66,few clouds
43,Barrow,US,71.2906,-156.7887,32.02,80,75,17.27,light snow
44,Kokopo,PG,-4.352,152.2633,80.38,72,62,4.81,broken clouds
45,Kuppam,IN,12.75,78.3667,73.65,78,95,3.31,overcast clouds
46,Owando,CG,-0.4819,15.8999,70.14,98,100,3.04,overcast clouds
47,Atuona,PF,-9.8,-139.0333,78.15,77,36,21.41,scattered clouds
