City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ningxiang,CN,2021-09-19 18:35:46,37.34,111.2052,50.41,91,17,3.09
1,Dikson,RU,2021-09-19 18:35:35,73.5069,80.5464,36.41,86,100,18.41
2,Arraial Do Cabo,BR,2021-09-19 18:34:35,-22.9661,-42.0278,78.76,78,20,9.22
3,Torbay,CA,2021-09-19 18:35:47,47.6666,-52.7314,61.48,93,90,10.36
4,Solnechnyy,RU,2021-09-19 18:35:47,50.7214,136.6319,45.66,56,0,9.24
5,Rikitea,PF,2021-09-19 18:35:47,-23.1203,-134.9692,73.72,75,0,11.92
6,Lahij,YE,2021-09-19 18:35:48,13.1667,44.5833,89.65,44,39,6.67
7,Coquimbo,CL,2021-09-19 18:35:48,-29.9533,-71.3436,58.73,67,75,8.05
8,Nizhniy Odes,RU,2021-09-19 18:35:13,63.6445,54.856,37.22,67,100,10.96
9,Leningradskiy,RU,2021-09-19 18:35:48,69.3833,178.4167,26.53,86,87,22.73
10,Mwinilunga,ZM,2021-09-19 18:35:49,-11.7358,24.4293,75.52,24,27,4.85
11,Busselton,AU,2021-09-19 18:35:49,-33.65,115.3333,49.05,78,0,11.7
12,Ribeira Grande,PT,2021-09-19 18:35:49,38.5167,-28.7,72.0,60,75,6.91
13,Cherskiy,RU,2021-09-19 18:35:50,68.75,161.3,23.77,77,24,7.4
14,Ushuaia,AR,2021-09-19 18:35:39,-54.8,-68.3,51.46,43,40,14.97
15,Longyearbyen,SJ,2021-09-19 18:35:50,78.2186,15.6401,39.04,93,75,10.36
16,Fukue,JP,2021-09-19 18:35:50,32.6881,128.8419,76.14,73,11,9.73
17,Mar Del Plata,AR,2021-09-19 18:35:51,-38.0023,-57.5575,59.02,94,75,14.97
18,Souillac,MU,2021-09-19 18:35:10,-20.5167,57.5167,71.98,56,40,11.5
19,Saskylakh,RU,2021-09-19 18:35:51,71.9167,114.0833,29.44,92,100,4.68
20,Tashtagol,RU,2021-09-19 18:35:52,52.7657,87.8894,49.06,74,100,1.9
21,Kalabo,ZM,2021-09-19 18:35:52,-14.97,22.6814,82.22,19,91,5.57
22,Mataura,NZ,2021-09-19 18:35:52,-46.1927,168.8643,37.47,98,19,3.51
23,Vigrestad,NO,2021-09-19 18:34:45,58.5667,5.7,55.99,62,100,21.7
24,Buta,CD,2021-09-19 18:35:53,2.7858,24.73,76.42,75,96,1.95
25,Banjar,ID,2021-09-19 18:35:53,-8.19,114.9675,78.66,89,24,6.78
26,Qaanaaq,GL,2021-09-19 18:35:53,77.484,-69.3632,19.44,90,97,4.97
27,Aswan,EG,2021-09-19 18:35:53,24.0934,32.907,88.9,25,0,0.0
28,Srednekolymsk,RU,2021-09-19 18:35:54,67.45,153.6833,28.0,65,100,18.19
29,Alice Springs,AU,2021-09-19 18:35:54,-23.7,133.8833,60.35,77,34,0.0
30,Lagos,NG,2021-09-19 18:34:22,6.5833,3.75,84.52,87,37,5.14
31,Ancud,CL,2021-09-19 18:35:54,-41.8697,-73.8203,53.13,73,42,7.25
32,Petropavlovka,RU,2021-09-19 18:35:55,50.6114,105.3196,51.62,87,2,2.39
33,Puerto Ayora,EC,2021-09-19 18:35:55,-0.7393,-90.3518,76.96,87,82,5.99
34,Touros,BR,2021-09-19 18:35:55,-5.1989,-35.4608,85.1,64,100,17.6
35,Walvis Bay,NA,2021-09-19 18:33:45,-22.9575,14.5053,58.08,71,0,9.22
36,Tasiilaq,GL,2021-09-19 18:35:56,65.6145,-37.6368,39.36,73,100,2.84
37,Kilindoni,TZ,2021-09-19 18:35:56,-7.9139,39.6668,77.11,77,7,17.81
38,Coria,ES,2021-09-19 18:35:56,39.9879,-6.5377,71.46,35,0,2.44
39,Berbera,SO,2021-09-19 18:35:56,10.4396,45.0143,88.77,62,12,10.47
40,Qaqortoq,GL,2021-09-19 18:35:57,60.7167,-46.0333,43.3,78,37,13.58
41,Askiz,RU,2021-09-19 18:35:57,53.1319,90.5264,53.64,65,100,3.06
42,Hilo,US,2021-09-19 18:34:31,19.7297,-155.09,79.79,71,1,5.75
43,Punta Arenas,CL,2021-09-19 18:32:24,-53.15,-70.9167,50.11,57,75,27.63
44,Hermanus,ZA,2021-09-19 18:34:45,-34.4187,19.2345,58.89,79,0,11.72
45,Carnarvon,AU,2021-09-19 18:35:58,-24.8667,113.6333,62.67,72,0,14.97
46,Khatanga,RU,2021-09-19 18:35:58,71.9667,102.5,31.77,98,100,14.43
47,Lavrentiya,RU,2021-09-19 18:35:58,65.5833,-171.0,29.75,71,3,7.07
48,Avarua,CK,2021-09-19 18:35:58,-21.2078,-159.775,73.45,88,75,11.5
49,Georgetown,MY,2021-09-19 18:31:53,5.4112,100.3354,78.75,91,40,1.01
50,Kodiak,US,2021-09-19 18:35:22,57.79,-152.4072,44.11,76,1,3.44
51,Namatanai,PG,2021-09-19 18:35:59,-3.6667,152.4333,77.81,82,81,4.59
52,Grindavik,IS,2021-09-19 18:35:59,63.8424,-22.4338,49.95,93,75,11.5
53,Severo-Kurilsk,RU,2021-09-19 18:35:59,50.6789,156.125,50.59,98,100,11.65
54,Fortuna,US,2021-09-19 18:31:54,40.5982,-124.1573,67.42,63,20,4.0
55,Atuona,PF,2021-09-19 18:36:00,-9.8,-139.0333,77.38,82,43,19.57
56,Yar-Sale,RU,2021-09-19 18:34:32,66.8333,70.8333,32.56,84,96,22.53
57,Frederikshavn,DK,2021-09-19 18:36:00,57.4407,10.5366,52.99,54,100,12.26
58,Kununurra,AU,2021-09-19 18:36:00,-15.7667,128.7333,71.58,83,40,0.0
59,Kemijarvi,FI,2021-09-19 18:36:01,66.7131,27.4306,38.07,77,83,4.36
60,Thompson,CA,2021-09-19 18:36:01,55.7435,-97.8558,59.16,82,90,10.36
61,Port Hardy,CA,2021-09-19 18:33:27,50.6996,-127.4199,53.78,94,75,6.91
62,Bethel,US,2021-09-19 18:36:02,41.3712,-73.414,77.09,52,1,1.01
63,Hithadhoo,MV,2021-09-19 18:36:02,-0.6,73.0833,82.44,75,100,1.68
64,Piombino,IT,2021-09-19 18:36:02,42.9348,10.5221,72.88,56,1,7.0
65,Ouanaminthe,HT,2021-09-19 18:36:03,19.55,-71.7333,85.68,55,46,14.43
66,Quelimane,MZ,2021-09-19 18:36:03,-17.8786,36.8883,66.76,61,9,4.59
67,Hovd,MN,2021-09-19 18:35:33,48.0056,91.6419,58.5,35,25,7.81
68,Nikolskoye,RU,2021-09-19 18:36:03,59.7035,30.7861,44.49,72,100,8.46
69,Bluff,NZ,2021-09-19 18:34:26,-46.6,168.3333,37.8,85,74,11.97
70,Provideniya,RU,2021-09-19 18:36:04,64.3833,-173.3,32.31,70,50,8.34
71,Ilulissat,GL,2021-09-19 18:35:19,69.2167,-51.1,28.42,43,100,6.91
72,Urengoy,RU,2021-09-19 18:34:16,65.9667,78.3667,40.05,92,97,6.35
73,Fare,PF,2021-09-19 18:36:05,-16.7,-151.0167,78.26,74,25,21.54
74,Victoria,HK,2021-09-19 18:33:27,22.2855,114.1577,86.32,83,24,4.9
75,Kaspiysk,RU,2021-09-19 18:36:05,42.8816,47.6392,62.78,88,19,4.47
76,Aklavik,CA,2021-09-19 18:36:05,68.2191,-135.0107,41.0,52,75,3.44
77,New Norfolk,AU,2021-09-19 18:36:06,-42.7826,147.0587,46.92,77,93,7.72
78,Bredasdorp,ZA,2021-09-19 18:34:31,-34.5322,20.0403,58.32,72,0,17.27
79,Baykit,RU,2021-09-19 18:32:15,61.67,96.37,44.38,97,100,2.44
80,Kruisfontein,ZA,2021-09-19 18:36:06,-34.0033,24.7314,54.88,92,78,6.31
81,Los Llanos De Aridane,ES,2021-09-19 18:34:58,28.6585,-17.9182,71.35,86,20,11.5
82,Russell,US,2021-09-19 18:33:27,32.3502,-85.1999,80.31,83,75,0.0
83,Sisimiut,GL,2021-09-19 18:36:07,66.9395,-53.6735,34.99,49,100,10.0
